,month,day,temperature,humidity,visibility,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,Dishwasher [kW],Home office [kW],Fridge [kW],Wine cellar [kW],Garage door [kW],Barn [kW],Well [kW],Microwave [kW],Living room [kW],Furnace [kW],Kitchen [kW],Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Part of the Day_Madrugada,Part of the Day_Manaña,Part of the Day_Media Mañana,Part of the Day_Medio Dia,Part of the Day_Noche,Part of the Day_Tarde,Part of the Day_Tarde-Noche,day of week_Monday,day of week_Tuesday,day of week_Wednesday,day of week_Thursday,day of week_Friday,day of week_Saturday,day of week_Sunday,uso original,uso predicho
21,1,2,31.1,0.6153333333333334,10.0,1013.8926666666666,7.150666666666666,0.23399999999999999,268.4,0.0,19.293333333333337,0.0,0.0012676,27.905966666,4.75595,0.433499998,0.778283335,2.565733333,0.061700007,0.248549997,0.096516667,10.248649998,0.043951101,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.716999997,123.62645
22,1,2,30.604333333333333,0.6023333333333334,10.0,1014.0049999999999,7.957,0.181,268.3,0.0,18.476999999999997,0.0,0.002934332,25.326399998,0.290300004,0.436483336,0.78373333,2.251366667,0.061300006,0.253616662,0.098433334,10.05256666,0.06223416,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.456266666,115.35845
23,1,2,30.13,0.6,10.0,1014.1600000000001,8.062,0.2,273.8,0.0,17.922,0.0,31.169416869,5.4378,2.3985666610000003,0.423283331,0.742316665,2.085533331,2.34901667,0.259183334,0.089433335,27.425466668,0.070501031,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.340383335,122.65286
24,1,2,29.639999999999997,0.6,10.0,1014.2316666666667,8.036666666666665,0.19333333333333333,273.3333333333333,0.0,17.503333333333334,0.0,25.441316669,3.055216669,4.760400001,0.435566666,0.7741666700000001,2.0807333310000002,0.060750002,0.254249999,0.096533332,31.67443333,0.055434398,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.964083335,109.790695
25,1,2,28.936,0.6173333333333333,10.0,1014.266,8.04,0.15533333333333335,270.4,0.0,17.613333333333333,0.0,6.3778999679999995,3.06478333,0.303716664,0.422000001,0.780783336,2.081066667,0.060850004,0.2536,0.09775,23.383733333,0.055417895,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.179233333,101.52269
26,1,2,29.118999999999996,0.629,9.829,1014.4230000000001,8.004,0.14100000000000001,267.3,0.0,18.125999999999998,0.0,0.017816664,3.047400002,7.479416667,0.429433334,0.799966669,2.238866668,0.060466669,0.255883338,0.098883332,21.577933339,0.035883931,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.043283333,109.790695
27,1,2,29.523333333333333,0.63,9.987333333333334,1014.2626666666667,7.272,0.2986666666666667,260.46666666666664,0.0,18.572000000000003,0.0,0.008616603,3.310433334,0.296383329,0.418933333,0.766499999,2.060416665,0.06103334,0.25303333,0.097033335,41.976866671,0.054700997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.668033335000004,101.52269
28,1,2,29.115000000000002,0.6396666666666667,10.0,1014.4046666666667,7.500333333333333,0.27133333333333337,249.36666666666667,0.0,18.571,0.0,0.014183235,3.085383335,5.524866668,0.42288333,0.780966664,2.061383335,0.06043334,0.253549994,0.096583333,24.511083335,0.039717705,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.713949998,109.790695
29,1,2,28.91166666666667,0.6396666666666667,9.913,1014.8446666666666,6.478,0.28,254.0,0.0,18.151666666666667,0.0,0.0153167,3.051566662,0.361999998,0.423933333,0.783133333,2.192750001,0.060900005,0.252316669,0.096383332,31.491733329,0.051901001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.878833333,101.52269
30,1,2,28.66866666666667,0.6293333333333333,10.0,1015.2966666666666,6.786666666666666,0.2726666666666667,253.93333333333334,0.0,17.596666666666668,0.0,0.015133165,3.061316665,4.81783333,0.424683332,0.780933338,2.045350003,0.06053334,0.252250004,0.096449996,32.592883332,0.042467608000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.335899998,109.790695
31,1,2,28.863999999999997,0.6140000000000001,10.0,1015.712,7.8709999999999996,0.158,253.1,0.0,17.25,0.0,0.010416669,2.955383333,0.361066668,6.372583336,0.756800003,1.933816669,2.9272833339999997,1.6715166670000001,5.069516669,59.196733337,4.637217334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.662316671,120.56287
32,1,2,30.968666666666664,0.5559999999999999,10.0,1016.1246666666667,8.156666666666666,0.05666666666666667,254.53333333333333,0.0,17.07133333333333,0.0,0.011466501,2.985933329,5.081266665,7.397516663,1.048550001,1.865249999,0.06133334,0.250466665,10.424616664,47.881683327,0.045084096000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83.656850001,125.24774
33,1,2,32.36333333333334,0.5266666666666667,10.0,1016.2800000000001,9.476666666666665,0.12666666666666668,258.6666666666667,0.0,17.111666666666665,0.0,0.003433733,2.92453333,0.646516668,0.606116667,0.772883331,1.895749996,2.573066672,0.256333333,0.08173333099999999,22.773450001,0.047516897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.452599999,102.41421
34,1,2,33.846,0.504,10.0,1015.7199999999999,10.078,0.24000000000000002,265.4,0.0,17.266000000000002,0.0,0.009233535,2.959549996,4.193549996,0.43953333,0.750033336,1.888949996,0.060450001,0.253416671,0.083616667,35.348066667,0.045467797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.91285,105.887985
35,1,2,35.184666666666665,0.4776666666666667,10.0,1014.754,10.518,0.19033333333333333,276.9,0.0,17.285,0.0,0.005800368,2.95093333,2.176466666,0.443383335,0.771716669,1.923366663,0.059933332,0.257366671,0.086449999,19.212449999,0.047684235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.214600002,105.887985
36,1,2,35.544666666666664,0.47,10.0,1014.1773333333333,10.763333333333332,0.25266666666666665,272.6666666666667,0.0,17.453333333333333,0.0,0.0062002690000000004,2.951783338,2.231533335,0.434783333,1.050716668,1.8957,0.059849998,0.252516664,1.346133333,16.758283333,0.047484566,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.62488333,120.52792
37,1,2,35.535999999999994,0.482,10.0,1013.7360000000001,10.439,0.168,280.9,0.0,17.867,0.0,0.0065668670000000005,2.946200001,5.474249999,0.433149998,1.051599999,1.876299999,2.576583336,1.1272999989999999,1.250299997,18.083616665,3.5541343,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.827899997,115.79986
38,1,2,34.60666666666667,0.5166666666666667,10.0,1013.86,10.44,0.22333333333333333,282.6666666666667,0.0,18.589999999999996,0.0,0.0032001350000000002,2.920250002,0.542666662,0.447349999,0.770383334,37.887133336,5.590000003,0.257750001,5.816783331,23.898983335,0.061101167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.488216667,121.773964
39,1,2,34.02166666666667,0.5373333333333333,10.0,1014.0836666666668,7.473666666666667,0.15833333333333333,275.03333333333336,0.0,18.984333333333332,0.0,0.008966730000000001,3.367916671,4.25246667,0.433583336,0.741066665,28.034933338000002,0.061550002,0.256800001,5.84498333,44.797716672,0.051351100999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106.033100001,135.69873
40,1,2,33.486,0.558,10.0,1014.062,6.39,0.0,255.0,0.0,19.468,0.0,0.0047669340000000004,5.441483334,1.2532666670000001,0.439983332,0.750066665,30.629516667,6.1029166660000005,0.255566667,5.910416665,34.456966666,0.067983971,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129.434949997,130.6114
41,1,2,33.26533333333333,0.57,10.0,1014.1326666666666,6.357666666666666,0.43333333333333335,243.43333333333334,0.0,19.716,0.0,0.003516966,5.925233331,3.457400003,0.44046667,0.753150004,23.152383331,5.5893499989999995,0.254466666,6.5505833319999995,28.707283332,0.055434403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,175.454883339,130.6114
42,1,2,33.13133333333334,0.5746666666666667,10.0,1014.2426666666667,6.454666666666666,1.0,238.86666666666667,0.0,19.866666666666667,0.0,0.005166665,5.464083334,4.69403333,1.0667,0.742983334,25.994883332,2.557650001,0.254283333,5.966416665,23.390133335,0.055950804,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,176.082616667,130.6114
43,1,3,33.03,0.58,10.0,1013.97,6.375,1.0,226.5,0.0,19.865000000000002,0.0,0.002900833,5.485399998,7.786716666,0.431466664,0.755700004,2.400366661,3.193433344,0.245249995,5.975,12.796666667,0.031084134,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.280149994,131.81921
44,1,3,32.822,0.5853333333333333,10.0,1013.3240000000001,6.300666666666667,0.4666666666666667,219.46666666666667,0.0,19.735333333333333,0.0,25.793300069,18.174433332,14.667116666,0.418799999,0.722750001,2.555800001,2.440083334,0.817033332,5.9285333300000005,24.433433336,6.613784,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,124.431583333,125.657524
45,1,3,32.20933333333333,0.5956666666666666,10.0,1012.6426666666666,6.362666666666667,0.0,216.16666666666666,0.0,19.683333333333334,0.0,27.211399997,28.879099998,7.7716833339999996,0.42156667,0.754966668,2.15958333,0.061583337,0.249783336,5.967283335,14.126633331,0.059300765,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.725799997,132.7928
46,1,3,31.67,0.606,10.0,1012.1659999999999,6.335999999999999,0.066,218.2,0.0,19.706000000000003,0.0,0.036149983,26.714966671,0.29,0.434016665,0.787449999,2.191983338,0.061333348999999995,0.254483333,6.0586,5.009266667,0.060867901999999995,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.900916662,124.52481
47,1,3,30.947333333333333,0.6226666666666667,10.0,1011.6806666666666,6.6,0.23666666666666666,214.66666666666666,0.0,19.674,0.0,0.012749932,11.048433333,6.47405,0.437483332,0.773716666,2.57136667,0.062300002,0.25813333,0.465000003,13.532166668,0.037267534,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59.874966666,123.62645
48,1,3,30.05,0.6366666666666667,10.0,1011.1166666666667,6.986666666666667,0.16333333333333336,203.66666666666666,0.0,19.369999999999997,0.0,0.013449903,2.546483334,1.494350001,0.44206667,0.778516668,2.187899997,0.06083334,0.2547,0.097433331,25.961900002,0.046401138,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.819383334,109.790695
